"Duration (ms)","Start date","End date","Start station number","Start station","End station number","End station","Bike number","Member type"
308196,"2017-01-01 00:58:38","2017-01-01 01:03:46",32034,"Ripley & Bonifant St",32056,"East West Hwy & 16th St",W21096,Member
455618,"2017-01-01 00:59:57","2017-01-01 01:07:32",31627,"3rd & M St NE",31618,"4th & East Capitol St NE",W22502,Member
394189,"2017-01-01 01:00:22","2017-01-01 01:06:56",31606,"Potomac & Pennsylvania Ave SE",31803,"Good Hope Rd & 14th St SE",W21372,Member
3045411,"2017-01-01 01:02:37","2017-01-01 01:53:22",31401,"14th St & Spring Rd NW",31606,"Potomac & Pennsylvania Ave SE",W21647,Member
376789,"2017-01-01 01:02:43","2017-01-01 01:09:00",31303,"Tenleytown / Wisconsin Ave & Albemarle St NW",31310,"Connecticut & Nebraska Ave NW",W01447,Member
879117,"2017-01-01 01:04:25","2017-01-01 01:19:04",31104,"Adams Mill & Columbia Rd NW",31627,"3rd & M St NE",W20334,Member
325359,"2017-01-01 01:04:41","2017-01-01 01:10:06",31280,"11th & S St NW",31214,"17th & Corcoran St NW",W20936,Member
335859,"2017-01-01 01:05:16","2017-01-01 01:10:51",31203,"14th & Rhode Island Ave NW",31509,"New Jersey Ave & R St NW",W22958,Member
1412283,"2017-01-01 01:06:08","2017-01-01 01:29:41",31627,"3rd & M St NE",31212,"21st & M St NW",W21156,Member
435438,"2017-01-01 01:06:41","2017-01-01 01:13:56",31602,"Park Rd & Holmead Pl NW",31402,"14th St Heights / 14th & Crittenden St NW",W21677,Member
1023879,"2017-01-01 01:06:54","2017-01-01 01:23:58",31611,"13th & H St NE",31109,"7th & T St NW",W22097,Member
1626644,"2017-01-01 01:07:40","2017-01-01 01:34:47",31514,"Hamlin & 7th St NE",31229,"New Hampshire Ave & T St NW",W01122,Member
257483,"2017-01-01 01:08:57","2017-01-01 01:13:14",31623,"Columbus Circle / Union Station",31616,"3rd & H St NE",W21284,Member
246975,"2017-01-01 01:09:12","2017-01-01 01:13:19",31623,"Columbus Circle / Union Station",31616,"3rd & H St NE",W22281,Member
1207183,"2017-01-01 01:09:19","2017-01-01 01:29:26",31238,"14th & G St NW",31289,"Henry Bacon Dr & Lincoln Memorial Circle NW",W22798,Casual
479615,"2017-01-01 01:09:31","2017-01-01 01:17:30",31265,"5th St & Massachusetts Ave NW",31203,"14th & Rhode Island Ave NW",W20290,Member
1180959,"2017-01-01 01:09:32","2017-01-01 01:29:12",31238,"14th & G St NW",31289,"Henry Bacon Dr & Lincoln Memorial Circle NW",W20583,Casual
476331,"2017-01-01 01:09:33","2017-01-01 01:17:29",31265,"5th St & Massachusetts Ave NW",31203,"14th & Rhode Island Ave NW",W22768,Member
621961,"2017-01-01 01:09:36","2017-01-01 01:19:58",31211,"Kennedy Center",31246,"M St & Pennsylvania Ave NW",W21549,Member
603161,"2017-01-01 01:09:38","2017-01-01 01:19:41",31282,"16th & R St NW",31600,"5th & K St NW",W22482,Member
401271,"2017-01-01 01:10:41","2017-01-01 01:17:23",31109,"7th & T St NW",31203,"14th & Rhode Island Ave NW",W01018,Member
780927,"2017-01-01 01:12:06","2017-01-01 01:25:07",31509,"New Jersey Ave & R St NW",31202,"14th & R St NW",W01250,Member
749086,"2017-01-01 01:12:30","2017-01-01 01:24:59",31104,"Adams Mill & Columbia Rd NW",31121,"Calvert St & Woodley Pl NW",W22632,Casual
743582,"2017-01-01 01:12:51","2017-01-01 01:25:14",31104,"Adams Mill & Columbia Rd NW",31121,"Calvert St & Woodley Pl NW",W01484,Casual
746930,"2017-01-01 01:12:57","2017-01-01 01:25:24",31104,"Adams Mill & Columbia Rd NW",31121,"Calvert St & Woodley Pl NW",W00634,Casual
743565,"2017-01-01 01:13:05","2017-01-01 01:25:29",31622,"13th & D St NE",31628,"1st & K St SE",W01047,Member
311103,"2017-01-01 01:13:21","2017-01-01 01:18:32",31202,"14th & R St NW",31280,"11th & S St NW",W21785,Member
720462,"2017-01-01 01:13:29","2017-01-01 01:25:30",31622,"13th & D St NE",31628,"1st & K St SE",W00743,Member
1196262,"2017-01-01 01:14:01","2017-01-01 01:33:58",31264,"6th St & Indiana Ave NW",31608,"8th & Eye St SE / Barracks Row",W22339,Member
258861,"2017-01-01 01:14:41","2017-01-01 01:19:00",31264,"6th St & Indiana Ave NW",31600,"5th & K St NW",W22848,Member
1103950,"2017-01-01 01:15:11","2017-01-01 01:33:35",31212,"21st & M St NW",31212,"21st & M St NW",W20914,Casual
602509,"2017-01-01 01:15:25","2017-01-01 01:25:28",31104,"Adams Mill & Columbia Rd NW",31121,"Calvert St & Woodley Pl NW",W00133,Casual
507650,"2017-01-01 01:16:45","2017-01-01 01:25:13",31109,"7th & T St NW",31636,"New Jersey Ave & N St NW/Dunbar HS",W00348,Member
919185,"2017-01-01 01:17:57","2017-01-01 01:33:16",31506,"1st & Rhode Island Ave NW",31614,"11th & H St NE",W21860,Member
458081,"2017-01-01 01:18:43","2017-01-01 01:26:21",31613,"Eastern Market Metro / Pennsylvania Ave & 7th St SE",31617,"Bladensburg Rd & Benning Rd NE",W20302,Member
872746,"2017-01-01 01:19:35","2017-01-01 01:34:07",31213,"17th & K St NW",31256,"10th & E St NW",W01463,Casual
434513,"2017-01-01 01:20:08","2017-01-01 01:27:22",31114,"18th St & Wyoming Ave NW",31280,"11th & S St NW",W21717,Member
830872,"2017-01-01 01:20:19","2017-01-01 01:34:10",31213,"17th & K St NW",31256,"10th & E St NW",W21407,Casual
428830,"2017-01-01 01:21:07","2017-01-01 01:28:16",31200,"Massachusetts Ave & Dupont Circle NW",31101,"14th & V St NW",W22203,Member
2102652,"2017-01-01 01:22:11","2017-01-01 01:57:13",31314,"34th & Water St NW",31605,"3rd & D St SE",W00648,Casual
415867,"2017-01-01 01:23:30","2017-01-01 01:30:26",31104,"Adams Mill & Columbia Rd NW",31107,"Lamont & Mt Pleasant NW",W22399,Member
1196991,"2017-01-01 01:25:38","2017-01-01 01:45:35",31109,"7th & T St NW",31618,"4th & East Capitol St NE",W22097,Member
403744,"2017-01-01 01:25:45","2017-01-01 01:32:29",31103,"16th & Harvard St NW",31102,"11th & Kenyon St NW",W20816,Member
368773,"2017-01-01 01:26:24","2017-01-01 01:32:32",31103,"16th & Harvard St NW",31102,"11th & Kenyon St NW",W20671,Member
218564,"2017-01-01 01:28:38","2017-01-01 01:32:17",31103,"16th & Harvard St NW",31124,"14th & Irving St NW",W22742,Member
463848,"2017-01-01 01:29:18","2017-01-01 01:37:02",31108,"4th & M St SW",31625,"3rd & G St SE",W21317,Member
446296,"2017-01-01 01:29:33","2017-01-01 01:37:00",31108,"4th & M St SW",31625,"3rd & G St SE",W01449,Member
256403,"2017-01-01 01:30:24","2017-01-01 01:34:40",31282,"16th & R St NW",31200,"Massachusetts Ave & Dupont Circle NW",W01263,Member
1236135,"2017-01-01 01:31:19","2017-01-01 01:51:55",31247,"Jefferson Dr & 14th St SW",31640,"Maryland Ave & E St NE",W00620,Member
220727,"2017-01-01 01:34:39","2017-01-01 01:38:20",31639,"2nd & G St NE",31603,"1st & M St NE",W01108,Member
390224,"2017-01-01 01:34:41","2017-01-01 01:41:11",31116,"California St & Florida Ave NW",31268,"12th & U St NW",W00799,Casual
490190,"2017-01-01 01:34:53","2017-01-01 01:43:03",31268,"12th & U St NW",31223,"Convention Center / 7th & M St NW",W20942,Member
422554,"2017-01-01 01:35:06","2017-01-01 01:42:09",31266,"11th & M St NW",31109,"7th & T St NW",W21957,Member
411596,"2017-01-01 01:35:15","2017-01-01 01:42:06",31266,"11th & M St NW",31109,"7th & T St NW",W01042,Member
787630,"2017-01-01 01:36:58","2017-01-01 01:50:05",31262,"11th & F St NW",31645,"6th & K St NE",W00273,Member
777501,"2017-01-01 01:37:16","2017-01-01 01:50:14",31041,"Prince St & Union St",31083,"Potomac Greens Dr & Slaters Ln",W22817,Casual
758338,"2017-01-01 01:37:34","2017-01-01 01:50:12",31041,"Prince St & Union St",31083,"Potomac Greens Dr & Slaters Ln",W21763,Member
594281,"2017-01-01 01:37:53","2017-01-01 01:47:47",31245,"7th & R St NW / Shaw Library",31600,"5th & K St NW",W22093,Member
263971,"2017-01-01 01:39:18","2017-01-01 01:43:42",31267,"17th St & Massachusetts Ave NW",31241,"Thomas Circle",W21740,Member
403582,"2017-01-01 01:41:03","2017-01-01 01:47:46",31200,"Massachusetts Ave & Dupont Circle NW",31257,"22nd & I St NW / Foggy Bottom",W01263,Member
194930,"2017-01-01 01:41:04","2017-01-01 01:44:18",31105,"14th & Harvard St NW",31101,"14th & V St NW",W22908,Member
384569,"2017-01-01 01:41:46","2017-01-01 01:48:10",31111,"10th & U St NW",31214,"17th & Corcoran St NW",W01110,Member
521473,"2017-01-01 01:42:59","2017-01-01 01:51:40",31245,"7th & R St NW / Shaw Library",31201,"15th & P St NW",W22403,Member
1284259,"2017-01-01 01:45:42","2017-01-01 02:07:07",31289,"Henry Bacon Dr & Lincoln Memorial Circle NW",31249,"Jefferson Memorial",W20583,Casual
1282799,"2017-01-01 01:45:53","2017-01-01 02:07:16",31289,"Henry Bacon Dr & Lincoln Memorial Circle NW",31249,"Jefferson Memorial",W22798,Casual
429555,"2017-01-01 01:46:08","2017-01-01 01:53:18",31266,"11th & M St NW",31214,"17th & Corcoran St NW",W20558,Member
842984,"2017-01-01 01:46:44","2017-01-01 02:00:47",31109,"7th & T St NW",31508,"Gallaudet / 8th St & Florida Ave NE",W21957,Member
373626,"2017-01-01 01:46:55","2017-01-01 01:53:08",31245,"7th & R St NW / Shaw Library",31214,"17th & Corcoran St NW",W01005,Member
263077,"2017-01-01 01:48:53","2017-01-01 01:53:16",31093,"21st St N & N Pierce St",31014,"Lynn & 19th St North",W20119,Member
491993,"2017-01-01 01:50:39","2017-01-01 01:58:51",31506,"1st & Rhode Island Ave NW",31203,"14th & Rhode Island Ave NW",W00246,Member
360242,"2017-01-01 01:51:23","2017-01-01 01:57:23",31610,"Eastern Market / 7th & North Carolina Ave SE",31614,"11th & H St NE",W00552,Member
252941,"2017-01-01 01:51:23","2017-01-01 01:55:36",31623,"Columbus Circle / Union Station",31631,"8th & F St NE",W22877,Member
424723,"2017-01-01 01:51:49","2017-01-01 01:58:54",31109,"7th & T St NW",31519,"1st & O St NW",W22524,Member
665660,"2017-01-01 01:52:39","2017-01-01 02:03:44",31037,"Ballston Metro / N Stuart & 9th St N",31905,"Kennebec St & 11th St N",W21938,Member
206352,"2017-01-01 01:53:27","2017-01-01 01:56:54",31214,"17th & Corcoran St NW",31202,"14th & R St NW",W21245,Member
170890,"2017-01-01 01:54:15","2017-01-01 01:57:06",31104,"Adams Mill & Columbia Rd NW",31116,"California St & Florida Ave NW",W22439,Member
2792306,"2017-01-01 01:54:30","2017-01-01 02:41:02",31233,"17th & K St NW / Farragut Square",31262,"11th & F St NW",W22370,Casual
1335411,"2017-01-01 01:55:37","2017-01-01 02:17:52",31623,"Columbus Circle / Union Station",31278,"18th & R St NW",W22295,Member
390670,"2017-01-01 01:55:38","2017-01-01 02:02:09",31113,"Columbia Rd & Belmont St NW",31122,"16th & Irving St NW",W22444,Member
336956,"2017-01-01 01:55:42","2017-01-01 02:01:19",31218,"L'Enfant Plaza / 7th & C St SW",31108,"4th & M St SW",W00047,Member
1382720,"2017-01-01 01:56:18","2017-01-01 02:19:21",31503,"Florida Ave & R St NW",31503,"Florida Ave & R St NW",W01269,Member
1138664,"2017-01-01 01:59:13","2017-01-01 02:18:11",31114,"18th St & Wyoming Ave NW",31265,"5th St & Massachusetts Ave NW",W20253,Casual
550439,"2017-01-01 02:00:25","2017-01-01 02:09:35",31233,"17th & K St NW / Farragut Square",31101,"14th & V St NW",W20098,Member
304774,"2017-01-01 02:01:02","2017-01-01 02:06:06",31042,"Market Square / King St & Royal St",31918,"Madison & Fairfax St",W21126,Casual
291410,"2017-01-01 02:01:14","2017-01-01 02:06:06",31042,"Market Square / King St & Royal St",31918,"Madison & Fairfax St",W22634,Casual
373912,"2017-01-01 02:03:30","2017-01-01 02:09:44",31627,"3rd & M St NE",31500,"4th & W St NE",W20832,Member
315360,"2017-01-01 02:03:49","2017-01-01 02:09:04",31282,"16th & R St NW",31285,"22nd & P ST NW",W23205,Member
881499,"2017-01-01 02:04:03","2017-01-01 02:18:45",31628,"1st & K St SE",31604,"3rd & H St NW",W22693,Member
1077465,"2017-01-01 02:04:10","2017-01-01 02:22:08",31600,"5th & K St NW",31619,"Lincoln Park / 13th & East Capitol St NE ",W00619,Member
1969168,"2017-01-01 02:05:24","2017-01-01 02:38:13",31123,"14th & Girard St NW",31202,"14th & R St NW",W20326,Member
1941576,"2017-01-01 02:05:43","2017-01-01 02:38:05",31123,"14th & Girard St NW",31202,"14th & R St NW",W21632,Member
494333,"2017-01-01 02:06:23","2017-01-01 02:14:37",31229,"New Hampshire Ave & T St NW",31266,"11th & M St NW",W22141,Member
194108,"2017-01-01 02:06:50","2017-01-01 02:10:04",31116,"California St & Florida Ave NW",31101,"14th & V St NW",W00441,Member
1005184,"2017-01-01 02:07:51","2017-01-01 02:24:36",31280,"11th & S St NW",31508,"Gallaudet / 8th St & Florida Ave NE",W01001,Member
282162,"2017-01-01 02:13:01","2017-01-01 02:17:44",31103,"16th & Harvard St NW",31101,"14th & V St NW",W00210,Member
327977,"2017-01-01 02:13:04","2017-01-01 02:18:32",31627,"3rd & M St NE",31512,"Neal St & Trinidad Ave NE",W20177,Member
192052,"2017-01-01 02:13:21","2017-01-01 02:16:33",31117,"15th & Euclid St  NW",31105,"14th & Harvard St NW",W21025,Member
549896,"2017-01-01 02:13:39","2017-01-01 02:22:49",31214,"17th & Corcoran St NW",31280,"11th & S St NW",W20936,Member
535712,"2017-01-01 02:14:03","2017-01-01 02:22:59",31116,"California St & Florida Ave NW",31122,"16th & Irving St NW",W21822,Member
389580,"2017-01-01 02:14:06","2017-01-01 02:20:36",31109,"7th & T St NW",31282,"16th & R St NW",W22048,Member
2421614,"2017-01-01 02:15:30","2017-01-01 02:55:52",31506,"1st & Rhode Island Ave NW",31506,"1st & Rhode Island Ave NW",W22788,Member
1514619,"2017-01-01 02:15:34","2017-01-01 02:40:49",31093,"21st St N & N Pierce St",31289,"Henry Bacon Dr & Lincoln Memorial Circle NW",W21826,Casual
459173,"2017-01-01 02:19:12","2017-01-01 02:26:51",31509,"New Jersey Ave & R St NW",31627,"3rd & M St NE",W00068,Member
368238,"2017-01-01 02:21:07","2017-01-01 02:27:16",31604,"3rd & H St NW",31600,"5th & K St NW",W22693,Member
482715,"2017-01-01 02:23:29","2017-01-01 02:31:32",31102,"11th & Kenyon St NW",31268,"12th & U St NW",W20961,Member
603317,"2017-01-01 02:24:05","2017-01-01 02:34:08",31114,"18th St & Wyoming Ave NW",31275,"New Hampshire Ave & 24th St NW",W01313,Member
97662,"2017-01-01 02:24:16","2017-01-01 02:25:53",31623,"Columbus Circle / Union Station",31639,"2nd & G St NE",W21577,Member
832403,"2017-01-01 02:24:43","2017-01-01 02:38:35",31109,"7th & T St NW",31105,"14th & Harvard St NW",W20665,Member
286028,"2017-01-01 02:25:38","2017-01-01 02:30:24",31108,"4th & M St SW",31244,"4th & E St SW",W22795,Member
472385,"2017-01-01 02:25:45","2017-01-01 02:33:37",31214,"17th & Corcoran St NW",31117,"15th & Euclid St  NW",W22181,Member
1335683,"2017-01-01 02:25:53","2017-01-01 02:48:08",31103,"16th & Harvard St NW",31014,"Lynn & 19th St North",W22038,Member
205324,"2017-01-01 02:26:34","2017-01-01 02:29:59",31108,"4th & M St SW",31244,"4th & E St SW",W23128,Member
1144183,"2017-01-01 02:27:52","2017-01-01 02:46:56",31606,"Potomac & Pennsylvania Ave SE",31616,"3rd & H St NE",W20287,Member
563711,"2017-01-01 02:28:45","2017-01-01 02:38:09",31114,"18th St & Wyoming Ave NW",31109,"7th & T St NW",W21137,Member
1691906,"2017-01-01 02:28:56","2017-01-01 02:57:08",31249,"Jefferson Memorial",31263,"10th & K St NW",W22798,Casual
1393411,"2017-01-01 02:29:03","2017-01-01 02:52:16",31406,"14th & Upshur St NW",31266,"11th & M St NW",W22621,Member
1393997,"2017-01-01 02:29:08","2017-01-01 02:52:22",31406,"14th & Upshur St NW",31266,"11th & M St NW",W21899,Member
1661584,"2017-01-01 02:29:17","2017-01-01 02:56:58",31249,"Jefferson Memorial",31263,"10th & K St NW",W20583,Casual
1499916,"2017-01-01 02:32:21","2017-01-01 02:57:21",31602,"Park Rd & Holmead Pl NW",31518,"New York Ave & Hecht Ave NE",W21350,Member
505621,"2017-01-01 02:33:19","2017-01-01 02:41:45",31098,"King St Metro North / Cameron St",31907,"Franklin & S Washington St",W21731,Member
303968,"2017-01-01 02:35:25","2017-01-01 02:40:29",31612,"D St & Maryland Ave NE",31645,"6th & K St NE",W21504,Member
664577,"2017-01-01 02:39:34","2017-01-01 02:50:38",31241,"Thomas Circle",31101,"14th & V St NW",W22195,Member
275737,"2017-01-01 02:39:53","2017-01-01 02:44:29",31244,"4th & E St SW",31108,"4th & M St SW",W22795,Member
240132,"2017-01-01 02:39:57","2017-01-01 02:43:57",31244,"4th & E St SW",31108,"4th & M St SW",W21546,Member
424313,"2017-01-01 02:40:43","2017-01-01 02:47:48",31121,"Calvert St & Woodley Pl NW",31114,"18th St & Wyoming Ave NW",W22015,Member
384377,"2017-01-01 02:41:28","2017-01-01 02:47:52",31121,"Calvert St & Woodley Pl NW",31114,"18th St & Wyoming Ave NW",W21593,Member
