"Duration (ms)","Start date","End date","Start station number","Start station","End station number","End station","Bike number","Member type"
221834,"2017-01-01 00:00:41","2017-01-01 00:04:23",31634,"3rd & Tingey St SE",31208,"M St & New Jersey Ave SE",W00869,Member
1676854,"2017-01-01 00:06:53","2017-01-01 00:34:49",31258,"Lincoln Memorial",31270,"8th & D St NW",W00894,Casual
1356956,"2017-01-01 00:07:10","2017-01-01 00:29:47",31289,"Henry Bacon Dr & Lincoln Memorial Circle NW",31222,"New York Ave & 15th St NW",W21945,Casual
1327901,"2017-01-01 00:07:22","2017-01-01 00:29:30",31289,"Henry Bacon Dr & Lincoln Memorial Circle NW",31222,"New York Ave & 15th St NW",W20012,Casual
1636768,"2017-01-01 00:07:36","2017-01-01 00:34:52",31258,"Lincoln Memorial",31270,"8th & D St NW",W22786,Casual
1603358,"2017-01-01 00:08:11","2017-01-01 00:34:55",31258,"Lincoln Memorial",31270,"8th & D St NW",W20890,Casual
473337,"2017-01-01 00:08:36","2017-01-01 00:16:29",31611,"13th & H St NE",31616,"3rd & H St NE",W20340,Member
200077,"2017-01-01 00:11:07","2017-01-01 00:14:27",31104,"Adams Mill & Columbia Rd NW",31121,"Calvert St & Woodley Pl NW",W20398,Member
748899,"2017-01-01 00:13:20","2017-01-01 00:25:49",31041,"Prince St & Union St",31097,"Saint Asaph & Madison St",W00365,Member
912960,"2017-01-01 00:14:35","2017-01-01 00:29:48",31202,"14th & R St NW",31505,"Eckington Pl & Q St NE",W20771,Member
383416,"2017-01-01 00:16:08","2017-01-01 00:22:32",31042,"Market Square / King St & Royal St",31048,"King St Metro South",W00232,Member
600116,"2017-01-01 00:16:08","2017-01-01 00:26:08",31041,"Prince St & Union St",31048,"King St Metro South",W22493,Member
2062467,"2017-01-01 00:16:15","2017-01-01 00:50:38",31041,"Prince St & Union St",31043,"Saint Asaph St & Pendleton  St",W20659,Casual
2017185,"2017-01-01 00:16:58","2017-01-01 00:50:36",31041,"Prince St & Union St",31043,"Saint Asaph St & Pendleton  St",W01371,Casual
404401,"2017-01-01 00:17:04","2017-01-01 00:23:49",31616,"3rd & H St NE",31265,"5th St & Massachusetts Ave NW",W21959,Member
981681,"2017-01-01 00:18:13","2017-01-01 00:34:35",31107,"Lamont & Mt Pleasant NW",31110,"20th St & Florida Ave NW",W01127,Member
750576,"2017-01-01 00:18:42","2017-01-01 00:31:12",31277,"17th & G St NW",31201,"15th & P St NW",W20571,Member
195997,"2017-01-01 00:18:48","2017-01-01 00:22:04",31268,"12th & U St NW",31109,"7th & T St NW",W01018,Member
244163,"2017-01-01 00:21:15","2017-01-01 00:25:19",31101,"14th & V St NW",31117,"15th & Euclid St  NW",W21976,Member
280239,"2017-01-01 00:22:13","2017-01-01 00:26:54",31089,"Court House Metro / 15th & N Uhle St ",31051,"Arlington Blvd & N Queen St",W00389,Casual
555059,"2017-01-01 00:23:21","2017-01-01 00:32:36",31229,"New Hampshire Ave & T St NW",31286,"11th & O St NW",W22017,Member
543776,"2017-01-01 00:23:28","2017-01-01 00:32:31",31229,"New Hampshire Ave & T St NW",31286,"11th & O St NW",W20059,Member
483888,"2017-01-01 00:24:45","2017-01-01 00:32:49",31265,"5th St & Massachusetts Ave NW",31213,"17th & K St NW",W21328,Member
216569,"2017-01-01 00:25:20","2017-01-01 00:28:57",31037,"Ballston Metro / N Stuart & 9th St N",31035,"N Quincy St & Glebe Rd",W20248,Member
36943984,"2017-01-01 00:25:42","2017-01-01 10:41:26",31258,"Lincoln Memorial",31286,"11th & O St NW",W20716,Casual
1903953,"2017-01-01 00:25:43","2017-01-01 00:57:27",31258,"Lincoln Memorial",31281,"8th & O St NW",W00367,Casual
228273,"2017-01-01 00:25:57","2017-01-01 00:29:45",31254,"15th & K St NW",31203,"14th & Rhode Island Ave NW",W01220,Member
653869,"2017-01-01 00:26:09","2017-01-01 00:37:03",31266,"11th & M St NW",31202,"14th & R St NW",W21359,Member
414133,"2017-01-01 00:28:05","2017-01-01 00:34:59",31506,"1st & Rhode Island Ave NW",31638,"1st & H St NW",W22698,Member
427363,"2017-01-01 00:28:26","2017-01-01 00:35:33",31519,"1st & O St NW",31503,"Florida Ave & R St NW",W21357,Casual
1016126,"2017-01-01 00:30:46","2017-01-01 00:47:42",31246,"M St & Pennsylvania Ave NW",31200,"Massachusetts Ave & Dupont Circle NW",W01043,Casual
975845,"2017-01-01 00:30:56","2017-01-01 00:47:12",31246,"M St & Pennsylvania Ave NW",31200,"Massachusetts Ave & Dupont Circle NW",W22193,Casual
1091781,"2017-01-01 00:31:39","2017-01-01 00:49:51",31201,"15th & P St NW",31115,"Columbia Rd & Georgia Ave NW",W20571,Member
645218,"2017-01-01 00:32:02","2017-01-01 00:42:48",31283,"14th & L St NW",31623,"Columbus Circle / Union Station",W23189,Casual
864827,"2017-01-01 00:32:40","2017-01-01 00:47:05",31263,"10th & K St NW",31102,"11th & Kenyon St NW",W00372,Member
744537,"2017-01-01 00:32:52","2017-01-01 00:45:17",31506,"1st & Rhode Island Ave NW",31639,"2nd & G St NE",W20523,Member
668342,"2017-01-01 00:34:23","2017-01-01 00:45:31",31201,"15th & P St NW",31118,"3rd & Elm St NW",W00114,Member
666949,"2017-01-01 00:34:29","2017-01-01 00:45:36",31201,"15th & P St NW",31118,"3rd & Elm St NW",W00640,Member
341970,"2017-01-01 00:35:19","2017-01-01 00:41:01",31101,"14th & V St NW",31214,"17th & Corcoran St NW",W21245,Member
660715,"2017-01-01 00:35:20","2017-01-01 00:46:20",31109,"7th & T St NW",31229,"New Hampshire Ave & T St NW",W01407,Member
808094,"2017-01-01 00:35:45","2017-01-01 00:49:13",31118,"3rd & Elm St NW",31203,"14th & Rhode Island Ave NW",W00834,Member
857562,"2017-01-01 00:36:00","2017-01-01 00:50:17",31223,"Convention Center / 7th & M St NW",31234,"20th & O St NW / Dupont South",W22828,Casual
1158191,"2017-01-01 00:36:31","2017-01-01 00:55:50",31509,"New Jersey Ave & R St NW",31631,"8th & F St NE",W21878,Member
1031773,"2017-01-01 00:37:31","2017-01-01 00:54:43",31117,"15th & Euclid St  NW",31603,"1st & M St NE",W20778,Member
551591,"2017-01-01 00:39:18","2017-01-01 00:48:30",31281,"8th & O St NW",31505,"Eckington Pl & Q St NE",W22610,Member
507158,"2017-01-01 00:39:54","2017-01-01 00:48:21",31123,"14th & Girard St NW",31113,"Columbia Rd & Belmont St NW",W00651,Member
241506,"2017-01-01 00:40:29","2017-01-01 00:44:30",31619,"Lincoln Park / 13th & East Capitol St NE ",31618,"4th & East Capitol St NE",W20776,Member
561484,"2017-01-01 00:40:52","2017-01-01 00:50:14",31266,"11th & M St NW",31234,"20th & O St NW / Dupont South",W22531,Member
556975,"2017-01-01 00:40:57","2017-01-01 00:50:14",31266,"11th & M St NW",31234,"20th & O St NW / Dupont South",W20656,Member
1730270,"2017-01-01 00:42:31","2017-01-01 01:11:21",31122,"16th & Irving St NW",31603,"1st & M St NE",W22119,Member
570001,"2017-01-01 00:43:24","2017-01-01 00:52:54",31604,"3rd & H St NW",31612,"D St & Maryland Ave NE",W21465,Member
577980,"2017-01-01 00:43:26","2017-01-01 00:53:04",31604,"3rd & H St NW",31612,"D St & Maryland Ave NE",W20619,Member
754660,"2017-01-01 00:44:34","2017-01-01 00:57:09",31268,"12th & U St NW",31212,"21st & M St NW",W00028,Casual
341340,"2017-01-01 00:44:58","2017-01-01 00:50:39",31202,"14th & R St NW",31281,"8th & O St NW",W20402,Member
337464,"2017-01-01 00:45:04","2017-01-01 00:50:41",31202,"14th & R St NW",31281,"8th & O St NW",W22491,Member
81510,"2017-01-01 00:46:39","2017-01-01 00:48:00",31046,"Henry St & Pendleton St",31046,"Henry St & Pendleton St",W00553,Casual
397928,"2017-01-01 00:47:08","2017-01-01 00:53:46",31114,"18th St & Wyoming Ave NW",31280,"11th & S St NW",W20936,Member
311623,"2017-01-01 00:51:11","2017-01-01 00:56:23",31645,"6th & K St NE",31614,"11th & H St NE",W00683,Casual
944911,"2017-01-01 00:51:14","2017-01-01 01:06:59",31265,"5th St & Massachusetts Ave NW",31204,"20th & E St NW",W21071,Member
287650,"2017-01-01 00:51:36","2017-01-01 00:56:23",31645,"6th & K St NE",31614,"11th & H St NE",W00081,Casual
198466,"2017-01-01 00:51:52","2017-01-01 00:55:11",31103,"16th & Harvard St NW",31229,"New Hampshire Ave & T St NW",W23122,Member
520909,"2017-01-01 00:52:26","2017-01-01 01:01:06",31107,"Lamont & Mt Pleasant NW",31214,"17th & Corcoran St NW",W22350,Member
469256,"2017-01-01 00:52:53","2017-01-01 01:00:43",31107,"Lamont & Mt Pleasant NW",31214,"17th & Corcoran St NW",W22181,Member
274500,"2017-01-01 00:52:55","2017-01-01 00:57:30",31216,"14th St & New York Ave NW",31251,"12th & L St NW",W20706,Member
967392,"2017-01-01 00:53:26","2017-01-01 01:09:33",31098,"King St Metro North / Cameron St",31913,"Commonwealth & E Monroe Ave",W20037,Casual
223081,"2017-01-01 00:53:33","2017-01-01 00:57:16",31630,"15th & East Capitol St NE",31632,"15th & F St NE",W20470,Member
220367,"2017-01-01 00:53:33","2017-01-01 00:57:13",31630,"15th & East Capitol St NE",31632,"15th & F St NE",W20556,Member
942986,"2017-01-01 00:53:54","2017-01-01 01:09:37",31098,"King St Metro North / Cameron St",31913,"Commonwealth & E Monroe Ave",W22669,Casual
1390807,"2017-01-01 00:55:08","2017-01-01 01:18:19",31044,"King St & Patrick St",31903,"Royal & Wilkes St",W01205,Casual
877090,"2017-01-01 00:55:31","2017-01-01 01:10:08",31238,"14th & G St NW",31117,"15th & Euclid St  NW",W00598,Member
279451,"2017-01-01 00:55:41","2017-01-01 01:00:21",31118,"3rd & Elm St NW",31245,"7th & R St NW / Shaw Library",W22403,Member
1313705,"2017-01-01 00:56:33","2017-01-01 01:18:27",31044,"King St & Patrick St",31903,"Royal & Wilkes St",W00975,Casual
1443629,"2017-01-01 00:57:05","2017-01-01 01:21:09",31097,"Saint Asaph & Madison St",31084,"Ballenger Ave & Dulaney St",W00365,Member
454340,"2017-01-01 00:57:21","2017-01-01 01:04:56",31109,"7th & T St NW",31282,"16th & R St NW",W01263,Member
1415138,"2017-01-01 00:57:48","2017-01-01 01:21:24",31203,"14th & Rhode Island Ave NW",31212,"21st & M St NW",W21091,Member
